,date,popular_revs,popular_pos_revs,popular_pct_likes,min_demanding,rec_demanding,change_pct
0,2017/01,5.0,5.0,13.0,1.0,1.0,0.5800000000000001
1,2017/02,12.0,12.0,20.0,1.0,6.0,1.68
2,2017/03,11.0,12.0,35.0,2.0,11.0,2.25
3,2017/04,10.0,12.0,29.0,2.0,7.0,1.14
4,2017/05,13.0,14.0,38.0,3.0,11.0,-0.019999999999999952
5,2017/06,7.0,8.0,23.0,1.0,9.0,3.2600000000000002
6,2017/07,10.0,10.0,23.0,3.0,8.0,-3.469446951953614e-18
7,2017/08,14.0,14.0,40.0,5.0,13.0,5.370000000000001
8,2017/09,12.0,11.0,41.0,1.0,13.0,2.3800000000000003
9,2017/10,12.0,14.0,27.0,2.0,8.0,8.350000000000001
10,2017/11,7.0,8.0,26.0,3.0,7.0,2.92
11,2017/12,6.0,7.0,26.0,5.0,12.0,2.16
12,2018/01,7.0,6.0,24.0,2.0,4.0,1.6653345369377348e-16
13,2018/02,10.0,9.0,30.0,1.0,13.0,-1.5799999999999994
14,2018/03,12.0,12.0,43.0,1.0,12.0,0.8299999999999998
15,2018/04,10.0,9.0,22.0,4.0,10.0,-6.15
16,2018/05,14.0,13.0,37.0,2.0,10.0,0.23
17,2018/06,12.0,11.0,22.0,2.0,11.0,0.20999999999999994
18,2018/07,3.0,3.0,23.0,2.0,7.0,-0.22999999999999998
19,2018/08,14.0,15.0,44.0,2.0,15.0,1.96
20,2018/09,15.0,16.0,50.0,4.0,20.0,0.4999999999999998
21,2018/10,8.0,6.0,34.0,1.0,14.0,0.5599999999999998
22,2018/11,11.0,12.0,48.0,3.0,16.0,-0.36000000000000026
23,2018/12,15.0,14.0,32.0,6.0,21.0,0.3900000000000001
24,2019/01,12.0,13.0,35.0,3.0,15.0,-0.28000000000000014
25,2019/02,11.0,11.0,32.0,3.0,16.0,2.32
26,2019/03,11.0,10.0,36.0,3.0,15.0,0.16999999999999998
27,2019/04,13.0,14.0,41.0,1.0,14.0,0.7799999999999999
28,2019/05,10.0,11.0,42.0,3.0,23.0,0.5800000000000001
29,2019/06,13.0,12.0,47.0,4.0,15.0,0.6900000000000001
30,2019/07,5.0,5.0,35.0,3.0,17.0,-1.34
31,2019/08,3.0,5.0,46.0,2.0,13.0,0.6300000000000002
32,2019/09,14.0,14.0,42.0,1.0,15.0,3.52
33,2019/10,10.0,9.0,47.0,0.0,11.0,0.5900000000000001
34,2019/11,9.0,6.0,54.0,0.0,12.0,1.61
35,2019/12,11.0,9.0,43.0,0.0,3.0,1.22
