GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,-0.21%,12
NVIDIA GeForce GTX 1050 Ti,-0.49%,12
NVIDIA GeForce GTX 960,-1.99%,12
NVIDIA GeForce GTX 750 Ti,-3.49%,12
NVIDIA GeForce GTX 1050,-0.01%,12
NVIDIA GeForce GTX 950,-1.25%,12
NVIDIA GeForce GTX 1070,+0.87%,12
NVIDIA GeForce GTX 970,+0.76%,12
NVIDIA GeForce GTX 1080,+0.51%,12
NVIDIA GeForce GTX 750,-0.43%,12
NVIDIA GeForce GTX 960M,+0.43%,12
NVIDIA GeForce GTX 760,-0.07%,12
NVIDIA GeForce GTX 660,-0.09%,12
NVIDIA GeForce GT 730,+0.10%,12
NVIDIA GeForce GTX 950M,+0.24%,12
NVIDIA GeForce GTX 1080 Ti,+0.31%,12
NVIDIA GeForce GTX 650,-0.09%,12
NVIDIA GeForce 940M,+0.21%,12
NVIDIA GeForce GT 720M,+0.14%,12
AMD Radeon R7 Graphics,+0.07%,12
AMD Radeon R5 Graphics,+0.08%,12
AMD Radeon HD 7700 Series,+0.06%,12
AMD Radeon R7 300 Series,+0.04%,12
AMD Radeon RX 480,+0.15%,12
Intel HD Graphics 520,+0.10%,12
NVIDIA GeForce GTX 980,+0.15%,12
NVIDIA GeForce GT 630,+0.04%,12
AMD Radeon HD 7900 Series,+0.12%,12
AMD Radeon HD 8800 Series,+0.06%,12
Intel HD Graphics 5500,+0.09%,12
NVIDIA GeForce GTX 980 Ti,+0.43%,12
Intel HD Graphics 4600,+0.09%,12
AMD Radeon HD 7800 Series,+0.05%,12
NVIDIA GeForce GTX 770,+0.41%,12
AMD Radeon RX 460,+0.04%,12
NVIDIA GeForce 920M,+0.39%,12
NVIDIA GeForce 840M,+0.38%,12
Intel HD Graphics 620,+0.38%,12
NVIDIA GeForce GTX 970M,+0.36%,12
NVIDIA GeForce GTX 650 Ti,-0.04%,12
AMD Radeon HD 8470D,-0.02%,12
NVIDIA GeForce GTX 1070 Ti,+0.34%,12
NVIDIA GeForce GTX 550 Ti,+0.33%,12
Intel HD Graphics 630,+0.33%,12
NVIDIA GeForce GTX 860M,+0.32%,12
Other,-0.22%,12
