GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-0.25%,3740
NVIDIA GeForce GTX 1050 Ti,-0.11%,2356
NVIDIA GeForce GTX 1070,+0.22%,6083
NVIDIA GeForce GTX 960,-0.34%,2308
NVIDIA GeForce GTX 970,+0.06%,3659
NVIDIA GeForce GTX 1080,+0.09%,7584
NVIDIA GeForce GTX 1080 Ti,+0.09%,9926
NVIDIA GeForce GTX 1070 Ti,+0.10%,6825
AMD Radeon RX 580,+0.18%,4294
AMD Radeon RX 480,+0.04%,4087
NVIDIA GeForce GTX 980,+0.01%,4383
NVIDIA GeForce GTX 980 Ti,+0.02%,5802
NVIDIA GeForce GTX 970M,-0.02%,2282
AMD Radeon RX 570,+0.07%,3812
AMD Radeon RX 470,+0.01%,3643
