GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.04%,3740
NVIDIA GeForce GTX 1050 Ti,+1.43%,2356
NVIDIA GeForce GTX 960,-0.50%,2308
NVIDIA GeForce GTX 1070,-0.24%,6083
NVIDIA GeForce GTX 970,-0.46%,3659
NVIDIA GeForce GTX 1080,-0.17%,7584
NVIDIA GeForce GTX 1080 Ti,-0.06%,9926
NVIDIA GeForce GTX 1070 Ti,+0.10%,6825
AMD Radeon RX 480,-0.06%,4087
NVIDIA GeForce GTX 980,-0.07%,4383
NVIDIA GeForce GTX 980 Ti,-0.08%,5802
NVIDIA GeForce GTX 770,-0.08%,2158
NVIDIA GeForce GTX 970M,-0.06%,2282
AMD Radeon RX 580,-0.02%,4294
