GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,-0.50%,12
NVIDIA GeForce GTX 1050 Ti,-0.09%,12
NVIDIA GeForce GTX 1050,-0.22%,12
NVIDIA GeForce GTX 1070,-0.14%,12
NVIDIA GeForce GTX 750 Ti,+0.01%,12
NVIDIA GeForce GTX 960,-0.01%,12
NVIDIA GeForce GTX 1080,-0.29%,12
NVIDIA GeForce GTX 970,-0.17%,12
NVIDIA GeForce GTX 1080 Ti,-0.15%,12
AMD Radeon RX 580,+0.10%,12
NVIDIA GeForce GTX 960M,-0.01%,12
NVIDIA GeForce GTX 1070 Ti,-0.03%,12
NVIDIA GeForce GT 730,+0.28%,12
NVIDIA GeForce 940M,+0.08%,12
NVIDIA GeForce GTX 950,-0.07%,12
Intel HD Graphics 620,+0.09%,12
AMD Radeon R7 Graphics,-0.09%,12
NVIDIA GeForce GTX 950M,0.00%,12
NVIDIA GeForce GTX 750,+0.13%,12
AMD Radeon RX 570,+0.10%,12
NVIDIA GeForce GT 1030,+0.03%,12
Intel HD Graphics 520,+0.06%,12
AMD Radeon R5 Graphics,+0.04%,12
NVIDIA GeForce GT 720M,+0.03%,12
NVIDIA GeForce GTX 760,-0.02%,12
AMD Radeon RX 480,-0.01%,12
NVIDIA GeForce GTX 650,+0.04%,12
Intel UHD Graphics 620,+0.10%,12
NVIDIA GeForce MX150,+0.07%,12
NVIDIA GeForce GTX 660,-0.01%,12
Intel HD Graphics 5500,+0.05%,12
Intel HD Graphics 4600,+0.04%,12
Intel HD Graphics 630,+0.05%,12
Intel HD Graphics 6000,+0.05%,12
NVIDIA GeForce GTX 980,-0.06%,12
NVIDIA GeForce GTX 980 Ti,-0.04%,12
NVIDIA GeForce GT 630,+0.06%,12
NVIDIA GeForce 920M,+0.03%,12
AMD Radeon HD 7700 Series,+0.01%,12
Intel UHD Graphics 630,+0.05%,12
AMD Radeon RX 560,+0.01%,12
NVIDIA GeForce 840M,+0.01%,12
AMD Radeon RX 460,-0.01%,12
AMD Radeon HD 7900 Series,-0.02%,12
AMD Radeon HD 8800 Series,-0.01%,12
AMD Radeon RX 470,-0.05%,12
NVIDIA GeForce GTX 770,-0.02%,12
NVIDIA GeForce GTX 970M,0.00%,12
Intel HD Graphics 530,+0.02%,12
NVIDIA GeForce GT 710,+0.05%,12
AMD Radeon R7 300 Series,+0.01%,12
NVIDIA GeForce GTX 550 Ti,+0.01%,12
AMD Radeon HD 8500 Series,+0.02%,12
NVIDIA GeForce GTX 860M,0.00%,12
AMD Radeon HD 7800 Series,-0.02%,12
AMD Radeon HD 8470D,-0.04%,12
AMD Radeon RX Vega,+0.32%,12
NVIDIA GeForce 920MX,+0.31%,12
AMD Radeon R9 380 Series,-0.01%,12
Other,-0.14%,12
