GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 750 Ti,+1.77%,12
NVIDIA GeForce GTX 960,+0.91%,12
NVIDIA GeForce GTX 1060,+1.81%,12
NVIDIA GeForce GTX 1050 Ti,+1.43%,12
NVIDIA GeForce GTX 950,+0.68%,12
NVIDIA GeForce GTX 1050,+0.41%,12
NVIDIA GeForce GTX 750,+0.04%,12
NVIDIA GeForce GTX 970,-0.48%,12
NVIDIA GeForce GTX 1070,-0.29%,12
NVIDIA GeForce GTX 760,-0.01%,12
NVIDIA GeForce GTX 660,-0.04%,12
NVIDIA GeForce GTX 960M,-0.31%,12
NVIDIA GeForce GTX 1080,-0.18%,12
NVIDIA GeForce GTX 650,-0.16%,12
NVIDIA GeForce GT 730,-0.25%,12
NVIDIA GeForce GTX 950M,-0.17%,12
NVIDIA GeForce GT 720M,-0.18%,12
NVIDIA GeForce 940M,-0.13%,12
AMD Radeon R7 Graphics,-0.14%,12
NVIDIA GeForce GTX 650 Ti,-0.06%,12
AMD Radeon HD 7700 Series,-0.12%,12
AMD Radeon R7 300 Series,-0.01%,12
NVIDIA GeForce GT 630,-0.12%,12
Intel HD Graphics 4600,-0.11%,12
AMD Radeon HD 8800 Series,-0.09%,12
Intel HD Graphics 5500,-0.11%,12
AMD Radeon R5 Graphics,-0.09%,12
Intel HD Graphics 520,-0.10%,12
AMD Radeon HD 7800 Series,-0.08%,12
AMD Radeon RX 460,-0.03%,12
NVIDIA GeForce GTX 1080 Ti,-0.07%,12
AMD Radeon HD 7900 Series,-0.10%,12
AMD Radeon RX 480,-0.11%,12
NVIDIA GeForce GTX 980,-0.10%,12
NVIDIA GeForce 920M,-0.09%,12
NVIDIA GeForce 840M,-0.08%,12
Other,-0.33%,12
