GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1070,-0.09%,6083
NVIDIA GeForce GTX 1080,+0.05%,7584
NVIDIA GeForce RTX 2060,+0.43%,7592
NVIDIA GeForce RTX 2070,+0.20%,9125
NVIDIA GeForce GTX 1080 Ti,+0.03%,9926
NVIDIA GeForce GTX 1660 Ti,+0.23%,6379
AMD Radeon RX 580,-0.01%,4294
NVIDIA GeForce GTX 1070 Ti,+0.04%,6825
NVIDIA GeForce GTX 1660,+0.21%,5469
NVIDIA GeForce RTX 2080,+0.07%,11091
NVIDIA GeForce RTX 2080 Ti,+0.06%,14761
AMD Radeon RX 480,-0.03%,4087
NVIDIA GeForce GTX 980,-0.03%,4383
NVIDIA GeForce GTX 980 Ti,-0.01%,5802
NVIDIA GeForce RTX 2070 SUPER,+0.46%,10171
