GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 970,-0.59%,3659
NVIDIA GeForce GTX 960,-0.10%,2308
NVIDIA GeForce GTX 1060,+0.58%,3740
NVIDIA GeForce GTX 1070,+0.17%,6083
NVIDIA GeForce GTX 760,-0.17%,1690
NVIDIA GeForce GTX 950,+0.06%,1922
NVIDIA GeForce GTX 1080,+0.03%,7584
NVIDIA GeForce GTX 770,-0.11%,2158
NVIDIA GeForce GTX 980,-0.12%,4383
NVIDIA GeForce GTX 980 Ti,-0.11%,5802
NVIDIA GeForce GTX 970M,-0.01%,2282
AMD Radeon RX 480,+0.11%,4087
NVIDIA GeForce GTX 1050 Ti,+0.31%,2356
NVIDIA GeForce GTX 780,-0.03%,2844
NVIDIA GeForce GTX 670,-0.04%,1856
NVIDIA GeForce GTX 980M,-0.01%,2932
NVIDIA GeForce GTX 965M,+0.02%,1809
AMD Radeon RX 460,+0.32%,1739
NVIDIA GeForce GTX 1050,+0.30%,1738
NVIDIA GeForce GTX 680,-0.03%,2019
