GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1070,-0.56%,6083
NVIDIA GeForce RTX 2060,+1.07%,7592
NVIDIA GeForce GTX 1080,-0.08%,7584
NVIDIA GeForce RTX 2070,+0.30%,9125
NVIDIA GeForce GTX 1660 Ti,-0.10%,6379
NVIDIA GeForce GTX 1070 Ti,+0.06%,6825
NVIDIA GeForce GTX 1080 Ti,-0.34%,9926
NVIDIA GeForce RTX 2080,+0.03%,11091
NVIDIA GeForce RTX 2070 SUPER,+0.20%,10171
NVIDIA GeForce RTX 2080 Ti,-0.13%,14761
NVIDIA GeForce RTX 2060 SUPER,+0.43%,8813
NVIDIA GeForce RTX 2080 SUPER,+0.34%,11670
