GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,+5.81%,12
NVIDIA GeForce GTX 1050 Ti,0.00%,12
NVIDIA GeForce GTX 1050,-0.81%,12
NVIDIA GeForce GTX 1070,-0.56%,12
NVIDIA GeForce GTX 960,+1.20%,12
NVIDIA GeForce RTX 2060,+1.07%,12
NVIDIA GeForce GTX 1080,-0.08%,12
NVIDIA GeForce GTX 750 Ti,+0.19%,12
NVIDIA GeForce GTX 1660,+1.06%,12
NVIDIA GeForce RTX 2070,+0.30%,12
NVIDIA GeForce GTX 970,-0.55%,12
NVIDIA GeForce GTX 1660 Ti,-0.10%,12
NVIDIA GeForce GTX 1070 Ti,+0.06%,12
NVIDIA GeForce GTX 950,+0.50%,12
NVIDIA GeForce GTX 1080 Ti,-0.34%,12
AMD Radeon RX 580,-0.29%,12
NVIDIA GeForce GTX 1650,-0.15%,12
NVIDIA GeForce RTX 2080,+0.03%,12
NVIDIA GeForce GTX 960M,-0.31%,12
AMD Radeon RX 570,-0.11%,12
NVIDIA GeForce 940M,-0.22%,12
Intel UHD Graphics 620,-0.13%,12
Intel HD Graphics 620,-0.13%,12
NVIDIA GeForce GT 730,-0.21%,12
NVIDIA GeForce RTX 2070 SUPER,+0.20%,12
AMD Radeon R7 Graphics,-0.19%,12
NVIDIA GeForce GTX 950M,-0.19%,12
NVIDIA GeForce GTX 760,-0.06%,12
Intel HD Graphics 520,-0.13%,12
NVIDIA GeForce GTX 750,-0.09%,12
NVIDIA GeForce RTX 2080 Ti,-0.13%,12
AMD Radeon R5 Graphics,-0.14%,12
AMD Radeon RX 480,-0.11%,12
NVIDIA GeForce GT 1030,-0.18%,12
NVIDIA GeForce MX150,-0.13%,12
NVIDIA GeForce GT 720M,-0.13%,12
Intel UHD Graphics 630,-0.09%,12
NVIDIA GeForce RTX 2060 SUPER,+0.43%,12
NVIDIA GeForce GTX 660,-0.09%,12
Intel HD Graphics 6000,-0.10%,12
Intel HD Graphics 630,-0.11%,12
NVIDIA GeForce GTX 650,-0.14%,12
Intel HD Graphics 4600,-0.10%,12
Intel HD Graphics 5500,-0.09%,12
NVIDIA GeForce GTX 980,-0.09%,12
NVIDIA GeForce GTX 980 Ti,-0.10%,12
NVIDIA GeForce RTX 2080 SUPER,+0.34%,12
AMD Radeon RX 560,-0.07%,12
AMD Radeon Vega 8 Graphics,-0.08%,12
Other,+0.16%,12
