GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.47%,3740
NVIDIA GeForce GTX 1050 Ti,+0.18%,2356
NVIDIA GeForce GTX 960,-0.57%,2308
NVIDIA GeForce GTX 1070,-0.02%,6083
NVIDIA GeForce GTX 970,-0.03%,3659
NVIDIA GeForce GTX 1080,+0.07%,7584
NVIDIA GeForce GTX 950,0.00%,1922
NVIDIA GeForce GTX 1080 Ti,+0.06%,9926
AMD Radeon RX 480,-0.01%,4087
NVIDIA GeForce GTX 980,-0.03%,4383
NVIDIA GeForce GTX 980 Ti,-0.01%,5802
NVIDIA GeForce GTX 770,-0.01%,2158
NVIDIA GeForce GTX 1070 Ti,+0.09%,6825
NVIDIA GeForce GTX 970M,-0.01%,2282
AMD Radeon RX 580,+0.03%,4294
