GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.07%,3740
NVIDIA GeForce GTX 1050 Ti,-0.25%,2356
NVIDIA GeForce GTX 960,-0.33%,2308
NVIDIA GeForce GTX 1070,+0.21%,6083
NVIDIA GeForce GTX 970,+0.06%,3659
NVIDIA GeForce GTX 1080,+0.16%,7584
NVIDIA GeForce GTX 950,-0.22%,1922
NVIDIA GeForce GTX 1080 Ti,+0.06%,9926
NVIDIA GeForce GTX 980,+0.03%,4383
AMD Radeon RX 480,+0.02%,4087
NVIDIA GeForce GTX 980 Ti,+0.02%,5802
NVIDIA GeForce GTX 770,0.00%,2158
NVIDIA GeForce GTX 970M,+0.01%,2282
NVIDIA GeForce GTX 1070 Ti,+0.05%,6825
AMD Radeon RX 580,+0.04%,4294
AMD Radeon RX 470,+0.30%,3643
