GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+1.06%,3740
NVIDIA GeForce GTX 1050 Ti,+0.50%,2356
NVIDIA GeForce GTX 1070,+0.15%,6083
NVIDIA GeForce GTX 960,+0.11%,2308
NVIDIA GeForce GTX 970,-0.09%,3659
NVIDIA GeForce GTX 1080,-0.01%,7584
NVIDIA GeForce GTX 1080 Ti,-0.02%,9926
NVIDIA GeForce GTX 1070 Ti,-0.01%,6825
AMD Radeon RX 580,+0.13%,4294
AMD Radeon RX 480,-0.02%,4087
NVIDIA GeForce GTX 980,-0.04%,4383
NVIDIA GeForce GTX 980 Ti,-0.03%,5802
NVIDIA GeForce GTX 970M,+0.01%,2282
NVIDIA GeForce GTX 770,-0.02%,2158
AMD Radeon RX 570,+0.30%,3812
AMD Radeon RX 470,+0.30%,3643
