GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 970,-0.29%,3659
NVIDIA GeForce GTX 960,+0.08%,2308
NVIDIA GeForce GTX 1060,+0.57%,3740
NVIDIA GeForce GTX 1070,+0.13%,6083
NVIDIA GeForce GTX 950,+0.06%,1922
NVIDIA GeForce GTX 1050 Ti,+0.41%,2356
NVIDIA GeForce GTX 1080,+0.05%,7584
AMD Radeon RX 480,+0.05%,4087
NVIDIA GeForce GTX 1050,+0.30%,1738
NVIDIA GeForce GTX 980,-0.06%,4383
NVIDIA GeForce GTX 770,-0.09%,2158
NVIDIA GeForce GTX 980 Ti,-0.08%,5802
NVIDIA GeForce GTX 970M,+0.02%,2282
AMD Radeon RX 460,+0.06%,1739
NVIDIA GeForce GTX 780,-0.04%,2844
AMD Radeon RX 470,+0.02%,3643
NVIDIA GeForce GTX 965M,+0.01%,1809
NVIDIA GeForce GTX 670,-0.04%,1856
NVIDIA GeForce GTX 980M,-0.02%,2932
