GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,-1.61%,12
NVIDIA GeForce GTX 1050 Ti,-2.59%,12
NVIDIA GeForce GTX 960,-4.79%,12
NVIDIA GeForce GTX 750 Ti,-5.11%,12
NVIDIA GeForce GTX 1050,-0.04%,12
NVIDIA GeForce GTX 1070,+1.25%,12
NVIDIA GeForce GTX 970,+1.14%,12
NVIDIA GeForce GTX 1080,+0.81%,12
NVIDIA GeForce GTX 960M,+0.77%,12
NVIDIA GeForce GTX 950,-2.64%,12
NVIDIA GeForce GT 730,+0.39%,12
NVIDIA GeForce GTX 760,-0.12%,12
NVIDIA GeForce GTX 1080 Ti,+0.46%,12
NVIDIA GeForce GTX 950M,+0.42%,12
NVIDIA GeForce GTX 750,-0.41%,12
NVIDIA GeForce 940M,+0.43%,12
AMD Radeon R7 Graphics,+0.42%,12
NVIDIA GeForce GTX 660,0.00%,12
NVIDIA GeForce GT 720M,+0.34%,12
NVIDIA GeForce GTX 650,+0.09%,12
AMD Radeon R5 Graphics,+0.25%,12
Intel HD Graphics 520,+0.25%,12
AMD Radeon RX 480,+0.24%,12
AMD Radeon HD 7900 Series,+0.24%,12
NVIDIA GeForce GTX 980,+0.24%,12
AMD Radeon HD 7700 Series,+0.20%,12
NVIDIA GeForce GTX 980 Ti,+0.22%,12
Intel HD Graphics 5500,+0.20%,12
NVIDIA GeForce GT 630,+0.17%,12
Intel HD Graphics 4600,+0.19%,12
NVIDIA GeForce GTX 770,+0.21%,12
AMD Radeon HD 8800 Series,+0.15%,12
NVIDIA GeForce 840M,+0.21%,12
Intel HD Graphics 620,+0.21%,12
NVIDIA GeForce 920M,+0.18%,12
AMD Radeon HD 8470D,+0.21%,12
NVIDIA GeForce GTX 970M,+0.19%,12
Intel HD Graphics 6000,+0.52%,12
Intel HD Graphics 630,+0.19%,12
AMD Radeon HD 7800 Series,+0.10%,12
NVIDIA GeForce GTX 860M,+0.18%,12
AMD Radeon R7 300 Series,+0.02%,12
AMD Radeon RX 460,+0.08%,12
NVIDIA GeForce GTX 550 Ti,+0.13%,12
AMD Radeon HD 8500 Series,+0.45%,12
NVIDIA GeForce GTX 1070 Ti,+0.10%,12
NVIDIA GeForce GT 1030,+0.40%,12
Intel HD Graphics 530,+0.40%,12
NVIDIA GeForce GTX 850M,+0.39%,12
AMD Radeon R9 380 Series,+0.39%,12
NVIDIA GeForce GT 740M,+0.39%,12
NVIDIA GeForce GTX 650 Ti,+0.02%,12
Intel Iris Graphics 6100,+0.36%,12
NVIDIA GeForce GTS 450,+0.36%,12
AMD Radeon R9 200 Series,+0.35%,12
NVIDIA GeForce GT 610,+0.33%,12
AMD Radeon RX 580,+0.32%,12
AMD Radeon R9 390 Series,+0.31%,12
NVIDIA GeForce GT 740,+0.31%,12
AMD Radeon R5 M330,+0.30%,12
NVIDIA GeForce 940MX,+0.30%,12
NVIDIA GeForce GTX 965M,+0.30%,12
Other,+0.25%,12
