GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 960,+6.24%,12
NVIDIA GeForce GTX 750 Ti,+6.64%,12
NVIDIA GeForce GTX 1060,+3.60%,12
NVIDIA GeForce GTX 1050 Ti,+3.20%,12
NVIDIA GeForce GTX 950,+2.79%,12
NVIDIA GeForce GTX 1050,+0.73%,12
NVIDIA GeForce GTX 970,-1.50%,12
NVIDIA GeForce GTX 750,+0.36%,12
NVIDIA GeForce GTX 1070,-1.23%,12
NVIDIA GeForce GTX 760,-0.04%,12
NVIDIA GeForce GTX 960M,-1.05%,12
NVIDIA GeForce GTX 660,-0.01%,12
NVIDIA GeForce GT 730,-0.86%,12
NVIDIA GeForce GTX 1080,-0.59%,12
NVIDIA GeForce GTX 650,-0.37%,12
NVIDIA GeForce GTX 950M,-0.56%,12
NVIDIA GeForce GT 720M,-0.56%,12
NVIDIA GeForce 940M,-0.44%,12
AMD Radeon R7 Graphics,-0.47%,12
NVIDIA GeForce GT 630,-0.49%,12
AMD Radeon HD 7700 Series,-0.38%,12
Intel HD Graphics 4600,-0.38%,12
Intel HD Graphics 5500,-0.37%,12
NVIDIA GeForce GTX 650 Ti,-0.02%,12
AMD Radeon HD 8800 Series,-0.27%,12
AMD Radeon R5 Graphics,-0.36%,12
Intel HD Graphics 520,-0.33%,12
AMD Radeon HD 7800 Series,-0.22%,12
AMD Radeon HD 7900 Series,-0.36%,12
NVIDIA GeForce GTX 1080 Ti,-0.22%,12
AMD Radeon R7 300 Series,-0.13%,12
AMD Radeon HD 8470D,-0.29%,12
AMD Radeon RX 480,-0.29%,12
NVIDIA GeForce GTX 980,-0.30%,12
AMD Radeon RX 460,-0.13%,12
NVIDIA GeForce 920M,-0.30%,12
NVIDIA GeForce GTX 770,-0.29%,12
NVIDIA GeForce 840M,-0.33%,12
NVIDIA GeForce GTX 980 Ti,-0.28%,12
NVIDIA GeForce GTX 550 Ti,-0.23%,12
Intel HD Graphics 530,-0.25%,12
NVIDIA GeForce GTX 970M,-0.27%,12
AMD Radeon HD 8500 Series,-0.23%,12
NVIDIA GeForce GTX 860M,-0.27%,12
Other,-1.64%,12
