GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.44%,3740
NVIDIA GeForce GTX 1050 Ti,+1.42%,2356
NVIDIA GeForce GTX 1070,-0.29%,6083
NVIDIA GeForce GTX 960,-0.44%,2308
NVIDIA GeForce GTX 970,-0.29%,3659
NVIDIA GeForce GTX 1080,-0.07%,7584
NVIDIA GeForce GTX 1080 Ti,-0.01%,9926
NVIDIA GeForce GTX 1070 Ti,+0.01%,6825
AMD Radeon RX 480,-0.03%,4087
NVIDIA GeForce GTX 980,-0.05%,4383
NVIDIA GeForce GTX 980 Ti,-0.05%,5802
AMD Radeon RX 580,+0.03%,4294
NVIDIA GeForce GTX 770,-0.05%,2158
NVIDIA GeForce GTX 970M,-0.06%,2282
