GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,+1.32%,12
NVIDIA GeForce GTX 960,+1.00%,12
NVIDIA GeForce GTX 750 Ti,+0.89%,12
NVIDIA GeForce GTX 1050 Ti,+1.85%,12
NVIDIA GeForce GTX 970,-1.17%,12
NVIDIA GeForce GTX 1050,+1.03%,12
NVIDIA GeForce GTX 1070,-0.64%,12
NVIDIA GeForce GTX 950,+0.37%,12
NVIDIA GeForce GTX 960M,-0.07%,12
NVIDIA GeForce GT 730,+0.06%,12
NVIDIA GeForce GTX 750,+0.17%,12
NVIDIA GeForce GTX 760,-0.17%,12
NVIDIA GeForce GTX 1080,-0.34%,12
NVIDIA GeForce GTX 650,0.00%,12
NVIDIA GeForce GTX 660,-0.11%,12
NVIDIA GeForce GTX 950M,+0.03%,12
NVIDIA GeForce GT 720M,-0.18%,12
NVIDIA GeForce 940M,+0.05%,12
AMD Radeon R7 Graphics,+0.04%,12
NVIDIA GeForce GT 630,-0.05%,12
AMD Radeon HD 7700 Series,-0.10%,12
Intel HD Graphics 4600,-0.01%,12
Intel HD Graphics 5500,+0.01%,12
AMD Radeon R5 Graphics,+0.05%,12
Intel HD Graphics 520,+0.06%,12
AMD Radeon HD 7900 Series,-0.24%,12
AMD Radeon HD 8800 Series,-0.22%,12
NVIDIA GeForce 840M,-0.11%,12
NVIDIA GeForce GTX 980,-0.20%,12
AMD Radeon RX 480,-0.24%,12
AMD Radeon HD 8470D,+0.11%,12
NVIDIA GeForce 920M,-0.03%,12
NVIDIA GeForce GTX 770,-0.23%,12
AMD Radeon HD 7800 Series,-0.19%,12
NVIDIA GeForce GTX 1080 Ti,-0.01%,12
NVIDIA GeForce GTX 980 Ti,-0.24%,12
NVIDIA GeForce GTX 970M,-0.12%,12
NVIDIA GeForce GTX 550 Ti,-0.12%,12
Intel HD Graphics 530,+0.04%,12
NVIDIA GeForce GTX 860M,-0.13%,12
AMD Radeon R7 300 Series,-0.13%,12
AMD Radeon HD 8500 Series,-0.09%,12
NVIDIA GeForce GTX 650 Ti,-0.07%,12
AMD Radeon RX 460,+0.01%,12
NVIDIA GeForce GT 740M,-0.08%,12
NVIDIA GeForce GTX 850M,-0.06%,12
Intel HD Graphics 620,+0.15%,12
Intel HD Graphics 6000,+0.03%,12
NVIDIA GeForce GT 740,+0.01%,12
NVIDIA GeForce GTS 450,-0.08%,12
AMD Radeon R9 380 Series,-0.15%,12
NVIDIA GeForce GT 610,-0.02%,12
AMD Radeon HD 8370D,+0.03%,12
AMD Radeon R9 200 Series,-0.15%,12
Intel Iris Graphics 6100,-0.04%,12
Intel HD Graphics 4400,-0.01%,12
AMD Radeon R5 M330,+0.01%,12
Intel HD Graphics 630,+0.35%,12
NVIDIA GeForce GTX 965M,-0.01%,12
NVIDIA GeForce GT 640,-0.08%,12
AMD Radeon R9 390 Series,-0.14%,12
NVIDIA GeForce GT 430,-0.03%,12
Other,+0.78%,12
