GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-1.76%,3740
NVIDIA GeForce GTX 1070,-0.47%,6083
NVIDIA GeForce GTX 1080,-0.33%,7584
NVIDIA GeForce GTX 1080 Ti,-0.16%,9926
NVIDIA GeForce RTX 2060,+1.62%,7592
AMD Radeon RX 580,-0.05%,4294
NVIDIA GeForce RTX 2070,+1.58%,9125
NVIDIA GeForce GTX 1070 Ti,-0.16%,6825
NVIDIA GeForce GTX 1660 Ti,+1.23%,6379
NVIDIA GeForce RTX 2080,+0.98%,11091
AMD Radeon RX 570,-0.02%,3812
NVIDIA GeForce GTX 1660,+0.68%,5469
AMD Radeon RX 480,-0.05%,4087
NVIDIA GeForce RTX 2080 Ti,+0.56%,14761
NVIDIA GeForce GTX 980,-0.07%,4383
NVIDIA GeForce GTX 980 Ti,-0.06%,5802
