GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+1.04%,3740
NVIDIA GeForce GTX 1050 Ti,-1.21%,2356
NVIDIA GeForce GTX 960,-0.07%,2308
NVIDIA GeForce GTX 1070,+0.56%,6083
NVIDIA GeForce GTX 970,+0.43%,3659
NVIDIA GeForce GTX 1080,+0.58%,7584
NVIDIA GeForce GTX 1080 Ti,+0.31%,9926
NVIDIA GeForce GTX 950,-0.34%,1922
NVIDIA GeForce GTX 1070 Ti,+0.17%,6825
AMD Radeon RX 480,+0.08%,4087
NVIDIA GeForce GTX 980,+0.09%,4383
NVIDIA GeForce GTX 980 Ti,+0.09%,5802
NVIDIA GeForce GTX 770,+0.04%,2158
NVIDIA GeForce GTX 970M,+0.06%,2282
AMD Radeon RX 580,+0.11%,4294
AMD Radeon RX 460,+0.02%,1739
